dataset,episode_index,depth_p5,depth_p50,depth_p95,pitch_deg,plane_inlier,pitch_deg_fov50,plane_inlier_fov50,pitch_deg_fov70,plane_inlier_fov70
00ri/so100_battery,0,1.6061881959438324,1.7827928066253662,1.9520249485969543,13.80869605075955,0.4729662698412698,14.49066866948506,0.4959077380952381,7.6641105931346445,0.47953869047619047
00ri/so100_battery,2,1.3896340787410737,1.6103577613830566,2.0164254665374757,23.685986539825137,0.39248511904761907,21.95944900414191,0.4095982142857143,16.16225026244253,0.39099702380952384
00ri/so100_battery,4,1.9988371789455415,2.271652579307556,2.7651654481887817,20.850885072471815,0.4914434523809524,24.640574245584403,0.5126488095238095,17.070089214292057,0.4992559523809524
00ri/so100_battery,6,1.5189022719860077,1.7372257113456726,2.019155514240265,18.36510622981255,0.4021577380952381,17.27358026106122,0.41703869047619047,14.673976707132335,0.40649801587301587
00ri/so100_battery,8,1.590570855140686,1.8137980103492737,2.180539894104004,17.19275069379882,0.5818452380952381,22.60525343386606,0.5911458333333334,16.843238352636945,0.583953373015873
00ri/so100_battery,10,1.547450315952301,1.6922224164009094,1.9059203207492827,10.645068248389547,0.5187251984126984,14.181347343925438,0.535094246031746,8.95716791624042,0.5239335317460317
00ri/so100_battery,12,1.3293453097343444,1.575373113155365,2.079770410060883,25.792752668859674,0.46118551587301587,29.194877165433557,0.47259424603174605,21.135782156727764,0.43898809523809523
00ri/so100_battery,14,1.388848340511322,1.7098014950752258,2.127556085586548,26.554665184698663,0.49330357142857145,34.257528219980635,0.5022321428571429,22.488516178806453,0.4632936507936508
00ri/so100_battery,17,1.5651092767715453,1.7672744989395142,2.0135369777679446,16.100177303648003,0.517609126984127,19.322403442927904,0.5250496031746031,12.953265304616533,0.5107886904761905
00ri/so100_battery,19,2.0501882553100588,2.2052441835403442,2.387056851387024,17.49418756012124,0.6159474206349206,21.829300570959486,0.6262400793650794,15.038444430348658,0.6139632936507936
00ri/so100_battery,21,1.5767236590385436,1.7403495907783508,1.938285720348358,9.813537215650431,0.7116815476190477,11.659016345267181,0.7192460317460317,7.652245400460596,0.7020089285714286
00ri/so100_battery,23,1.5093906462192535,1.6596238613128662,1.940665179491043,16.133147943731224,0.5455109126984127,18.10178883568197,0.5379464285714286,13.332044501947395,0.5414186507936508
00ri/so100_battery,25,1.3006148099899293,1.4754592180252075,1.808002579212189,25.45028267825917,0.4384920634920635,30.54869131204274,0.46242559523809523,20.378477899687265,0.4489087301587302
00ri/so100_battery,27,2.0758657336235045,2.378911018371582,2.840124547481537,22.444386720127266,0.572296626984127,27.63785622967212,0.5864335317460317,19.442912984480813,0.5675843253968254
00ri/so100_battery,29,1.8643267452716827,2.2210869789123535,2.7932873487472536,32.94011524777307,0.5189732142857143,38.028777764814016,0.5354662698412699,28.152180995077984,0.4962797619047619
00ri/so100_battery,31,1.7366281747817993,2.108248710632324,2.4821111798286437,20.10379686548007,0.3976934523809524,30.42092898866542,0.4181547619047619,16.854973418165486,0.39558531746031744
00ri/so100_battery,34,1.6031611919403077,1.8787012696266174,2.30080851316452,22.736519005665375,0.47445436507936506,25.923610659198793,0.49193948412698413,19.969264001405854,0.4681299603174603
00ri/so100_battery,36,1.817207497358322,2.1790355443954468,2.6121670842170714,26.90627028525324,0.46478174603174605,30.029351743750443,0.4905753968253968,21.26444327731524,0.4623015873015873
00ri/so100_battery,38,1.6113114535808564,1.9020716547966003,2.363466572761536,22.843207531355276,0.5026041666666666,29.490604856398882,0.5063244047619048,18.82331157421397,0.4964037698412698
00ri/so100_battery,40,1.6187472701072694,1.7561057806015015,2.0666155219078064,20.18307249682713,0.6062748015873016,23.506927330921474,0.5679563492063492,16.896183579626292,0.5797371031746031
00ri/so100_battery,42,1.7363371968269348,1.9511293172836304,2.2367252707481384,14.306997680682654,0.5696924603174603,20.679474681366155,0.5319940476190477,11.280462078999847,0.5530753968253969
00ri/so100_battery,44,1.5400680243968963,1.7110987305641174,1.8882675290107727,14.606512276755327,0.5577876984126984,16.292986249648024,0.5438988095238095,12.668750605031615,0.5376984126984127
00ri/so100_battery,46,1.4734573543071747,1.6744857430458069,1.9508156716823577,16.249765406428317,0.5266617063492064,19.178163588068013,0.5447668650793651,12.224984331997726,0.5441468253968254
00ri/so100_battery,49,1.6949242889881133,1.91689532995224,2.0940521359443665,22.486016097096893,0.5138888888888888,27.661258258170342,0.5287698412698413,19.29474438385725,0.5050843253968254
00ri/so100_battery_bin_center,0,1.6175634503364562,1.74388188123703,1.9070345044136048,7.492581232223201,0.5860615079365079,9.893024494815265,0.5989583333333334,6.156191143055078,0.589781746031746
00ri/so100_battery_bin_center,2,1.3792397201061248,1.52486914396286,1.7099979639053347,13.26361279715417,0.4071180555555556,17.85774993193502,0.4010416666666667,11.80159669582308,0.3970734126984127
00ri/so100_battery_bin_center,4,1.3578667640686035,1.5503228902816772,1.8140532076358795,14.775056993695793,0.39099702380952384,16.664153699697273,0.39694940476190477,11.698326009027975,0.39632936507936506
00ri/so100_battery_bin_center,6,1.5680737376213074,1.7952345609664917,1.9752431631088256,12.08607168117477,0.4626736111111111,13.542682727529774,0.46416170634920634,9.592266235831923,0.4712301587301587
00ri/so100_battery_bin_center,8,1.4436682522296906,1.6586968302726746,1.8976315915584565,13.39121478615656,0.423859126984127,16.542114639211523,0.423859126984127,10.624064446134582,0.42038690476190477
00ri/so100_battery_bin_center,10,1.5760210156440735,1.8370911478996277,2.160110080242157,19.8111665346978,0.38231646825396826,21.48169656777744,0.3923611111111111,15.190191084859178,0.3742559523809524
00ri/so100_battery_bin_center,12,1.4109496653079987,1.6534271836280823,1.9710363507270814,20.141845630028556,0.4052579365079365,24.092782603568253,0.41617063492063494,16.901846312068123,0.40228174603174605
00ri/so100_battery_bin_center,14,1.7127729773521423,1.9602951407432556,2.2134511470794678,15.298604172959912,0.5443948412698413,18.502570004453123,0.5569196428571429,13.0595450881523,0.5285218253968254
00ri/so100_battery_bin_center,17,1.5132382035255432,1.711590826511383,1.9916435658931733,14.436139073716449,0.4011656746031746,19.02698582454314,0.4001736111111111,12.171680133529899,0.4097222222222222
00ri/so100_battery_bin_center,19,1.6389611184597015,1.8788731098175049,2.1946204900741577,18.342102538150865,0.49094742063492064,22.690252850206605,0.49268353174603174,15.282040888083502,0.46688988095238093
00ri/so100_battery_bin_center,21,1.6010150492191315,1.8175134658813477,2.1026161313056946,19.69760579515671,0.4212549603174603,23.527305454538197,0.4273313492063492,14.639978485354378,0.41865079365079366
00ri/so100_battery_bin_center,23,1.5380543172359467,1.7409440875053406,1.9932784914970398,14.642113235745615,0.4437003968253968,16.384870819182016,0.43787202380952384,11.39150023304078,0.4303075396825397
