dataset,episode_index,horiz_edge_row,horiz_edge_strength,split_row,split_score,tex_ratio_top_bot,n_horiz_upper,table_edge_slope_deg,depth_slope,depth_span,depth_top_bot_gap,depth_bg_frac,depth_bg_row,depth_break
00ri/so100_battery,0,0.3416666666666667,2.3259808321114126,0.8958333333333334,4.609522370832915,2.9315473348964503,0.0,,0.4918366937549425,1.6371891413631494,0.3823092579841614,0.3682942708333333,0.23118985401875555,0.02570998058945844
00ri/so100_battery,2,0.4,4.085124502727644,0.8958333333333334,3.2753360637768663,1.8118922388994871,0.0,,0.5361585112615163,1.4583293490691185,0.3875441700220108,0.29868489583333335,0.26244463896515785,0.04465026305759345
00ri/so100_battery,4,0.1,3.388528771699253,0.8958333333333334,3.683104557183367,4.909605568782167,0.0,,0.24976715292590418,1.4548540280076838,0.18132370710372925,0.08884114583333333,0.15695435755385578,0.06182756272117132
00ri/so100_battery,6,0.5333333333333333,2.9766303985316664,0.8958333333333334,4.746808433559267,2.4207128981376043,0.0,,0.31008100501480623,1.6650657264285804,0.244051992893219,0.024674479166666666,0.06424967708459832,0.08629829443148748
00ri/so100_battery,8,0.24166666666666667,2.663273789460362,0.8666666666666667,3.6452743153272795,5.104311379720227,0.0,,0.4174068042591155,1.251800500541229,0.31278470158576965,0.21234375,0.18898340830231433,0.027246681130893294
00ri/so100_battery,10,0.3,5.653623817397976,0.8333333333333334,3.978501191317035,5.245368001820851,0.0,,0.46295920148978925,1.3089386474345315,0.3492489159107208,0.07369791666666667,0.13610449901681032,0.2552648928945829
00ri/so100_battery,12,0.15,3.734571309599,0.8958333333333334,3.8114935123892764,3.12926094204625,1.0,1.8039951162005963,0.4842888970145858,1.442083277902766,0.3154183328151703,0.2656640625,0.27471204189555354,0.04255272549062293
00ri/so100_battery,14,0.6708333333333333,2.8066308905720354,0.8958333333333334,2.3337294037208403,2.0097074412307547,0.0,,0.9777911369611701,0.9990588279846376,0.731010764837265,0.41723958333333333,0.2496350467897436,0.02975818423150362
00ri/so100_battery,17,0.14166666666666666,2.5021344495777855,0.8333333333333334,4.102680523834022,4.830470398830065,1.0,1.877877447285357,1.0005075130530054,0.9714410399679492,0.729335106909275,0.43907552083333334,0.27146772574705136,0.02284009137748721
00ri/so100_battery,19,0.5,1.9763713578264972,0.7333333333333333,3.8036128546230006,8.242238021117902,0.0,,0.5136459913422018,1.2180245527704558,0.4041105806827545,0.3204427083333333,0.20390544375096695,0.10631327848704633
00ri/so100_battery,21,0.125,3.004690323331346,0.5458333333333333,3.5224555903620933,13.766681888593942,0.0,,1.0196748841469925,1.0096579478037149,0.7371744960546494,0.38731770833333334,0.23848106436447836,0.017019159743532394
00ri/so100_battery,23,0.4041666666666667,2.3207131688583105,0.8833333333333333,3.9359189353336776,5.6750547630502,1.0,2.2906100426385336,0.7547888810740638,0.9160374388944742,0.5465044379234314,0.22178385416666666,0.20374282066782987,0.1431832121117272
00ri/so100_battery,25,0.6166666666666667,6.610655752307517,0.8958333333333334,3.787444556196441,2.6222455274875083,1.0,1.9749340108819808,0.9743636754560265,1.0658114629379014,0.7022654265165329,0.4265364583333333,0.2618281496793654,0.09600685033548167
00ri/so100_battery,27,0.14583333333333334,1.9313180552619928,0.8958333333333334,3.0079633135031556,2.489030809708611,1.0,1.722662071622807,0.5793847598362816,1.8204077387428668,0.37396711111068726,0.3323046875,0.264444622600569,0.03431332224600613
00ri/so100_battery,29,0.5416666666666666,2.4982914934385136,0.8958333333333334,3.535659266910796,1.9955404034087536,0.0,,0.8488031620180413,1.3164472950624815,0.5752429366111755,0.45427083333333335,0.2778146494364752,0.0935677142183619
00ri/so100_battery,31,0.6375,3.272815946785373,0.8958333333333334,3.3661105648817933,2.331551347345317,0.0,,0.8268930602222514,1.3955189223449096,0.6117760092020035,0.4111328125,0.24555918862242715,0.0340151813534666
00ri/so100_battery,34,0.5166666666666667,4.006169694008614,0.8958333333333334,3.297624980244193,1.8961321577928325,0.0,,0.5850439383158588,1.3866742684180526,0.4848487675189972,0.3046875,0.25090691270607585,0.06085753158140423
00ri/so100_battery,36,0.15833333333333333,1.778373215024426,0.8333333333333334,2.595000655669827,1.9884286814306233,0.0,,0.6850407856536601,1.4726116034322143,0.5042766556143761,0.28325520833333334,0.189748011523298,0.06898591980640521
00ri/so100_battery,38,0.15416666666666667,4.553537215563033,0.8958333333333334,2.5486028124932205,2.1086411260189832,0.0,,0.2384022914046106,1.2243059066648092,0.2087908387184143,0.1890625,0.2653033760964533,0.0574432988247494
00ri/so100_battery,40,0.4125,2.6252112077511023,0.7041666666666667,3.6660036550516915,10.024788569042595,0.0,,0.679596594505852,1.2467961841974782,0.5047518610954285,0.388828125,0.23047328730290434,0.022005957984810958
00ri/so100_battery,42,0.1375,2.1137721673517356,0.8083333333333333,3.903423257989635,7.121953791674376,0.0,,1.139395519852687,0.9944847138091204,0.8015261515974998,0.46119791666666665,0.2619986344381469,0.020795415860067036
00ri/so100_battery,44,0.4666666666666667,2.1314678033140457,0.7583333333333333,3.7762034264759325,7.192611677528868,1.0,2.0750263614174003,0.7393052400638179,1.1742797026862146,0.5650204345583916,0.39298177083333335,0.23687781070941719,0.04636836462486967
00ri/so100_battery,46,0.575,5.730009969907175,0.8958333333333334,2.740993721392402,2.5797517058606925,0.0,,0.9148591697956965,1.2006693504007877,0.6544590890407562,0.3686328125,0.2444186500538179,0.07953495026386788
00ri/so100_battery,49,0.6125,2.0602720859293373,0.8958333333333334,4.4296956038674775,2.8328469219911487,0.0,,1.0704254731865612,1.0140664054459312,0.7858203426003456,0.5049739583333334,0.2938601762582779,0.03058978647877196
00ri/so100_battery_bin_center,0,0.6708333333333333,4.5667567645202,0.8958333333333334,2.705579289321246,1.8510898113353913,0.0,,0.8611714729817586,1.3131567750865125,0.6924593225121498,0.32795572916666665,0.19774048277877296,0.0682581854712606
